# character<TAB>codepoint<TAB>latin<TAB>name
а	U+0430	a	CYRILLIC SMALL LETTER A
е	U+0435	e	CYRILLIC SMALL LETTER IE
і	U+0456	i	CYRILLIC SMALL LETTER BYELORUSSIAN-UKRAINIAN I
о	U+043E	o	CYRILLIC SMALL LETTER O
р	U+0440	p	CYRILLIC SMALL LETTER ER
с	U+0441	c	CYRILLIC SMALL LETTER ES
у	U+0443	y	CYRILLIC SMALL LETTER U
х	U+0445	x	CYRILLIC SMALL LETTER HA
к	U+043A	k	CYRILLIC SMALL LETTER KA
м	U+043C	m	CYRILLIC SMALL LETTER EM
т	U+0442	t	CYRILLIC SMALL LETTER TE
А	U+0410	A	CYRILLIC CAPITAL LETTER A
В	U+0412	B	CYRILLIC CAPITAL LETTER VE
Е	U+0415	E	CYRILLIC CAPITAL LETTER IE
К	U+041A	K	CYRILLIC CAPITAL LETTER KA
М	U+041C	M	CYRILLIC CAPITAL LETTER EM
Н	U+041D	H	CYRILLIC CAPITAL LETTER EN
О	U+041E	O	CYRILLIC CAPITAL LETTER O
Р	U+0420	P	CYRILLIC CAPITAL LETTER ER
С	U+0421	C	CYRILLIC CAPITAL LETTER ES
Т	U+0422	T	CYRILLIC CAPITAL LETTER TE
Х	U+0425	X	CYRILLIC CAPITAL LETTER HA
ο	U+03BF	o	GREEK SMALL LETTER OMICRON
Ο	U+039F	O	GREEK CAPITAL LETTER OMICRON
Α	U+0391	A	GREEK CAPITAL LETTER ALPHA
Β	U+0392	B	GREEK CAPITAL LETTER BETA
Ε	U+0395	E	GREEK CAPITAL LETTER EPSILON
Κ	U+039A	K	GREEK CAPITAL LETTER KAPPA
Μ	U+039C	M	GREEK CAPITAL LETTER MU
Ν	U+039D	N	GREEK CAPITAL LETTER NU
Ρ	U+03A1	P	GREEK CAPITAL LETTER RHO
Τ	U+03A4	T	GREEK CAPITAL LETTER TAU
Υ	U+03A5	Y	GREEK CAPITAL LETTER UPSILON
Χ	U+03A7	X	GREEK CAPITAL LETTER CHI
ν	U+03BD	v	GREEK SMALL LETTER NU
